season,match_name,result,h_odd,d_odd,a_odd,home_team,away_team,home_score,away_score,winner
2006,Portsmouth vs Watford,2-1,1.59,3.65,5.89,Portsmouth,Watford,2,1,HOME_TEAM
2006,Reading vs Charlton,2-0,1.92,3.33,3.97,Reading,Charlton,2,0,HOME_TEAM
2006,Sheffield Utd vs Manchester Utd,1-2,9.48,4.58,1.34,Sheffield Utd,Manchester Utd,1,2,AWAY_TEAM
2006,Manchester City vs Fulham,3-1,2.08,3.23,3.55,Manchester City,Fulham,3,1,HOME_TEAM
2006,Arsenal vs Liverpool,3-0,2.03,3.22,3.72,Arsenal,Liverpool,3,0,HOME_TEAM
2006,Reading vs Tottenham,3-1,3.17,3.22,2.25,Reading,Tottenham,3,1,HOME_TEAM
2006,Blackburn vs Manchester Utd,0-1,5.83,3.58,1.62,Blackburn,Manchester Utd,0,1,AWAY_TEAM
2006,Chelsea vs Watford,4-0,1.14,6.81,18.28,Chelsea,Watford,4,0,HOME_TEAM
2006,Everton vs Aston Villa,0-1,2.13,3.17,3.48,Everton,Aston Villa,0,1,AWAY_TEAM
2006,Middlesbrough vs West Ham,1-0,2.22,3.23,3.19,Middlesbrough,West Ham,1,0,HOME_TEAM
2006,Portsmouth vs Fulham,1-1,1.83,3.38,4.34,Portsmouth,Fulham,1,1,DRAW
2006,Sheffield Utd vs Bolton,2-2,3.03,3.21,2.32,Sheffield Utd,Bolton,2,2,DRAW
2006,Wigan vs Charlton,3-2,1.9,3.31,4.11,Wigan,Charlton,3,2,HOME_TEAM
2006,Manchester City vs Newcastle,0-0,2.06,3.23,3.6,Manchester City,Newcastle,0,0,DRAW
2006,Tottenham vs Chelsea,2-1,5.25,3.43,1.71,Tottenham,Chelsea,2,1,HOME_TEAM
2006,Aston Villa vs Blackburn,2-0,2.03,3.2,3.77,Aston Villa,Blackburn,2,0,HOME_TEAM
2006,West Ham vs Arsenal,1-0,6.7,3.63,1.54,West Ham,Arsenal,1,0,HOME_TEAM
2006,Newcastle vs Sheffield Utd,0-1,1.69,3.48,5.22,Newcastle,Sheffield Utd,0,1,AWAY_TEAM
2006,Bolton vs Wigan,0-1,1.87,3.28,4.43,Bolton,Wigan,0,1,AWAY_TEAM
2006,Charlton vs Manchester City,1-0,2.39,3.24,2.92,Charlton,Manchester City,1,0,HOME_TEAM
2006,Liverpool vs Reading,2-0,1.31,4.63,10.43,Liverpool,Reading,2,0,HOME_TEAM
2006,Manchester Utd vs Portsmouth,3-0,1.29,4.94,10.13,Manchester Utd,Portsmouth,3,0,HOME_TEAM
2006,Watford vs Middlesbrough,2-0,2.43,3.2,2.88,Watford,Middlesbrough,2,0,HOME_TEAM
2006,Fulham vs Everton,1-0,2.72,3.17,2.6,Fulham,Everton,1,0,HOME_TEAM
2006,Manchester City vs Middlesbrough,1-0,2.23,3.22,3.2,Manchester City,Middlesbrough,1,0,HOME_TEAM
2006,West Ham vs Blackburn,2-1,2.43,3.23,2.87,West Ham,Blackburn,2,1,HOME_TEAM
2006,Newcastle vs Charlton,0-0,1.76,3.43,4.75,Newcastle,Charlton,0,0,DRAW
2006,Arsenal vs Everton,1-1,1.37,4.39,9.06,Arsenal,Everton,1,1,DRAW
2006,Bolton vs Manchester Utd,0-4,4.32,3.27,1.87,Bolton,Manchester Utd,0,4,AWAY_TEAM
2006,Fulham vs Wigan,0-1,2.13,3.21,3.45,Fulham,Wigan,0,1,AWAY_TEAM
2006,Liverpool vs Aston Villa,3-1,1.56,3.56,6.58,Liverpool,Aston Villa,3,1,HOME_TEAM
2006,Portsmouth vs Reading,3-1,1.83,3.31,4.45,Portsmouth,Reading,3,1,HOME_TEAM
2006,Watford vs Tottenham,0-0,3.67,3.28,2.02,Watford,Tottenham,0,0,DRAW
2006,Sheffield Utd vs Chelsea,0-2,10.92,4.81,1.3,Sheffield Utd,Chelsea,0,2,AWAY_TEAM
2006,Reading vs Arsenal,0-4,6.04,3.61,1.6,Reading,Arsenal,0,4,AWAY_TEAM
2006,Blackburn vs Bolton,0-1,2.38,3.18,2.99,Blackburn,Bolton,0,1,AWAY_TEAM
2006,Middlesbrough vs Newcastle,1-0,2.36,3.17,3.02,Middlesbrough,Newcastle,1,0,HOME_TEAM
2006,Tottenham vs West Ham,1-0,1.74,3.44,4.97,Tottenham,West Ham,1,0,HOME_TEAM
2006,Manchester Utd vs Liverpool,2-0,1.9,3.18,4.38,Manchester Utd,Liverpool,2,0,HOME_TEAM
2006,Aston Villa vs Fulham,1-1,1.71,3.43,5.28,Aston Villa,Fulham,1,1,DRAW
2006,Charlton vs Watford,0-0,1.98,3.31,3.83,Charlton,Watford,0,0,DRAW
2006,Chelsea vs Portsmouth,2-1,1.26,5.35,11.09,Chelsea,Portsmouth,2,1,HOME_TEAM
2006,Everton vs Sheffield Utd,2-0,1.58,3.6,6.3,Everton,Sheffield Utd,2,0,HOME_TEAM
2006,Wigan vs Manchester City,4-0,2.31,3.23,3.05,Wigan,Manchester City,4,0,HOME_TEAM
2006,Fulham vs Charlton,2-1,2.05,3.23,3.73,Fulham,Charlton,2,1,HOME_TEAM
2006,Newcastle vs Bolton,1-2,2.29,3.18,3.13,Newcastle,Bolton,1,2,AWAY_TEAM
2006,Reading vs Chelsea,0-1,7.13,3.92,1.48,Reading,Chelsea,0,1,AWAY_TEAM
2006,Arsenal vs Watford,3-0,1.17,6.35,16.77,Arsenal,Watford,3,0,HOME_TEAM
2006,Aston Villa vs Tottenham,1-1,2.24,3.2,3.22,Aston Villa,Tottenham,1,1,DRAW
2006,Liverpool vs Blackburn,1-1,1.48,3.89,7.44,Liverpool,Blackburn,1,1,DRAW
2006,Manchester City vs Sheffield Utd,0-0,1.69,3.53,5.17,Manchester City,Sheffield Utd,0,0,DRAW
2006,Middlesbrough vs Everton,2-1,2.49,3.2,2.82,Middlesbrough,Everton,2,1,HOME_TEAM
2006,Portsmouth vs West Ham,2-0,1.98,3.25,3.86,Portsmouth,West Ham,2,0,HOME_TEAM
2006,Wigan vs Manchester Utd,1-3,6.56,3.77,1.52,Wigan,Manchester Utd,1,3,AWAY_TEAM
2006,Watford vs Fulham,3-3,2.33,3.22,3.05,Watford,Fulham,3,3,DRAW
2006,Tottenham vs Portsmouth,2-1,1.87,3.32,4.23,Tottenham,Portsmouth,2,1,HOME_TEAM
2006,Blackburn vs Wigan,2-1,1.88,3.32,4.13,Blackburn,Wigan,2,1,HOME_TEAM
2006,Manchester Utd vs Newcastle,2-0,1.31,4.65,10.14,Manchester Utd,Newcastle,2,0,HOME_TEAM
2006,West Ham vs Reading,0-1,2.12,3.2,3.53,West Ham,Reading,0,1,AWAY_TEAM
2006,Sheffield Utd vs Middlesbrough,2-1,2.72,3.22,2.55,Sheffield Utd,Middlesbrough,2,1,HOME_TEAM
2006,Charlton vs Arsenal,1-2,7.17,3.78,1.5,Charlton,Arsenal,1,2,AWAY_TEAM
2006,Chelsea vs Aston Villa,1-1,1.28,5.17,10.67,Chelsea,Aston Villa,1,1,DRAW
2006,Everton vs Manchester City,1-1,1.9,3.29,4.17,Everton,Manchester City,1,1,DRAW
2006,Bolton vs Liverpool,2-0,3.74,3.24,2.02,Bolton,Liverpool,2,0,HOME_TEAM
2006,Portsmouth vs Bolton,0-1,2.05,3.25,3.67,Portsmouth,Bolton,0,1,AWAY_TEAM
2006,Newcastle vs Everton,1-1,2.23,3.22,3.2,Newcastle,Everton,1,1,DRAW
2006,Reading vs Manchester Utd,1-1,5.87,3.63,1.61,Reading,Manchester Utd,1,1,DRAW
2006,Arsenal vs Sheffield Utd,3-0,1.19,6.08,16.33,Arsenal,Sheffield Utd,3,0,HOME_TEAM
2006,Aston Villa vs Charlton,2-0,1.71,3.47,5.01,Aston Villa,Charlton,2,0,HOME_TEAM
2006,Fulham vs Chelsea,0-2,8.1,4.18,1.42,Fulham,Chelsea,0,2,AWAY_TEAM
2006,Manchester City vs West Ham,2-0,2.24,3.28,3.15,Manchester City,West Ham,2,0,HOME_TEAM
2006,Middlesbrough vs Blackburn,0-1,2.18,3.28,3.27,Middlesbrough,Blackburn,0,1,AWAY_TEAM
2006,Wigan vs Watford,1-1,1.83,3.4,4.31,Wigan,Watford,1,1,DRAW
2006,Liverpool vs Tottenham,3-0,1.61,3.58,5.93,Liverpool,Tottenham,3,0,HOME_TEAM
2006,Liverpool vs Newcastle,2-0,1.51,3.76,7.16,Liverpool,Newcastle,2,0,HOME_TEAM
2006,Manchester Utd vs Arsenal,0-1,2.0,3.28,4.3,Manchester Utd,Arsenal,0,1,AWAY_TEAM
2006,Blackburn vs Manchester City,4-2,2.08,3.22,3.55,Blackburn,Manchester City,4,2,HOME_TEAM
2006,Tottenham vs Fulham,0-0,1.6,3.57,6.13,Tottenham,Fulham,0,0,DRAW
2006,West Ham vs Newcastle,0-2,2.12,3.25,3.48,West Ham,Newcastle,0,2,AWAY_TEAM
2006,Chelsea vs Liverpool,1-0,1.74,3.33,5.2,Chelsea,Liverpool,1,0,HOME_TEAM
2006,Watford vs Aston Villa,0-0,2.87,3.27,2.42,Watford,Aston Villa,0,0,DRAW
2006,Bolton vs Middlesbrough,0-0,1.97,3.26,3.94,Bolton,Middlesbrough,0,0,DRAW
2006,Everton vs Wigan,2-2,1.74,3.46,4.75,Everton,Wigan,2,2,DRAW
2006,Sheffield Utd vs Reading,1-2,2.45,3.21,2.85,Sheffield Utd,Reading,1,2,AWAY_TEAM
2006,Charlton vs Portsmouth,0-1,2.45,3.22,2.85,Charlton,Portsmouth,0,1,AWAY_TEAM
2006,Reading vs Manchester City,1-0,2.36,3.23,2.98,Reading,Manchester City,1,0,HOME_TEAM
