season,date,match_name,result,h_odd,d_odd,a_odd,source_file
2004/2005,Unknown,Middlesbrough vs Norwich,2-0,-233.0,287.0,639.0,2004-2005_full.csv
2004/2005,Unknown,Portsmouth vs Chelsea,0-2,527.0,258.0,-189.0,2004-2005_full.csv
2004/2005,Unknown,Tottenham vs Crystal Palace,1-1,-204.0,269.0,558.0,2004-2005_full.csv
2004/2005,Unknown,West Brom vs Liverpool,0-5,472.0,250.0,-169.0,2004-2005_full.csv
2004/2005,Unknown,Birmingham vs Middlesbrough,2-0,142.0,217.0,177.0,2004-2005_full.csv
2004/2005,Unknown,Blackburn vs Newcastle,2-2,152.0,223.0,158.0,2004-2005_full.csv
2004/2005,Unknown,Everton vs Manchester City,2-1,-105.0,222.0,277.0,2004-2005_full.csv
2004/2005,Unknown,Manchester Utd vs Bolton,2-0,-333.0,359.0,841.0,2004-2005_full.csv
2004/2005,Unknown,Norwich vs Tottenham,0-2,200.0,218.0,125.0,2004-2005_full.csv
2004/2005,Unknown,Crystal Palace vs Portsmouth,0-1,142.0,217.0,175.0,2004-2005_full.csv
2004/2005,Unknown,Arsenal vs Fulham,2-0,-417.0,388.0,899.0,2004-2005_full.csv
2004/2005,Unknown,Chelsea vs Aston Villa,1-0,-385.0,355.0,899.0,2004-2005_full.csv
2004/2005,Unknown,Southampton vs Charlton,0-0,127.0,217.0,200.0,2004-2005_full.csv
2004/2005,Unknown,Charlton vs Fulham,2-1,102.0,225.0,243.0,2004-2005_full.csv
2004/2005,Unknown,Portsmouth vs Arsenal,0-1,588.0,290.0,-238.0,2004-2005_full.csv
2004/2005,Unknown,Liverpool vs Newcastle,3-1,-122.0,229.0,308.0,2004-2005_full.csv
2004/2005,Unknown,Manchester Utd vs Crystal Palace,5-2,-526.0,459.0,899.0,2004-2005_full.csv
2004/2005,Unknown,Blackburn vs Everton,0-0,168.0,221.0,142.0,2004-2005_full.csv
2004/2005,Unknown,Bolton vs Manchester City,0-1,114.0,218.0,218.0,2004-2005_full.csv
